,shape,angle,thickness
0,torus_bump_000,0.0,0.45999999999999996
1,torus_bump_001,0.0101010101010101,0.45999999999999996
2,torus_bump_002,0.0202020202020202,0.4066666666666667
3,torus_bump_003,0.030303030303030304,0.3
4,torus_bump_004,0.0404040404040404,0.45999999999999996
5,torus_bump_005,0.050505050505050504,0.3933333333333333
6,torus_bump_006,0.06060606060606061,0.32666666666666666
7,torus_bump_007,0.0707070707070707,0.3133333333333333
8,torus_bump_008,0.0808080808080808,0.32666666666666666
9,torus_bump_009,0.0909090909090909,0.42
10,torus_bump_010,0.10101010101010101,0.36666666666666664
11,torus_bump_011,0.1111111111111111,0.36666666666666664
12,torus_bump_012,0.12121212121212122,0.44666666666666666
13,torus_bump_013,0.13131313131313133,0.38
14,torus_bump_014,0.1414141414141414,0.32666666666666666
15,torus_bump_015,0.1515151515151515,0.33999999999999997
16,torus_bump_016,0.1616161616161616,0.33999999999999997
17,torus_bump_017,0.1717171717171717,0.43333333333333335
18,torus_bump_018,0.1818181818181818,0.3
19,torus_bump_019,0.19191919191919193,0.35333333333333333
20,torus_bump_020,0.20202020202020202,0.47333333333333333
21,torus_bump_021,0.21212121212121213,0.35333333333333333
22,torus_bump_022,0.2222222222222222,0.3933333333333333
23,torus_bump_023,0.2323232323232323,0.36666666666666664
24,torus_bump_024,0.24242424242424243,0.36666666666666664
25,torus_bump_025,0.2525252525252525,0.44666666666666666
26,torus_bump_026,0.26262626262626265,0.3933333333333333
27,torus_bump_027,0.2727272727272727,0.4066666666666667
28,torus_bump_028,0.2828282828282828,0.4866666666666667
29,torus_bump_029,0.29292929292929293,0.43333333333333335
30,torus_bump_030,0.303030303030303,0.47333333333333333
31,torus_bump_031,0.31313131313131315,0.47333333333333333
32,torus_bump_032,0.3232323232323232,0.47333333333333333
33,torus_bump_033,0.3333333333333333,0.44666666666666666
34,torus_bump_034,0.3434343434343434,0.32666666666666666
35,torus_bump_035,0.35353535353535354,0.36666666666666664
36,torus_bump_036,0.3636363636363636,0.3133333333333333
37,torus_bump_037,0.37373737373737376,0.4866666666666667
38,torus_bump_038,0.38383838383838387,0.38
39,torus_bump_039,0.3939393939393939,0.42
40,torus_bump_040,0.40404040404040403,0.4066666666666667
41,torus_bump_041,0.4141414141414141,0.38
42,torus_bump_042,0.42424242424242425,0.47333333333333333
43,torus_bump_043,0.43434343434343436,0.42
44,torus_bump_044,0.4444444444444444,0.4866666666666667
45,torus_bump_045,0.45454545454545453,0.45999999999999996
46,torus_bump_046,0.4646464646464646,0.3
47,torus_bump_047,0.47474747474747475,0.32666666666666666
48,torus_bump_048,0.48484848484848486,0.47333333333333333
49,torus_bump_049,0.4949494949494949,0.3133333333333333
50,torus_bump_050,0.505050505050505,0.36666666666666664
51,torus_bump_051,0.5151515151515151,0.42
52,torus_bump_052,0.5252525252525253,0.32666666666666666
53,torus_bump_053,0.5353535353535354,0.44666666666666666
54,torus_bump_054,0.5454545454545454,0.44666666666666666
55,torus_bump_055,0.5555555555555555,0.38
56,torus_bump_056,0.5656565656565656,0.47333333333333333
57,torus_bump_057,0.5757575757575758,0.33999999999999997
58,torus_bump_058,0.5858585858585859,0.38
59,torus_bump_059,0.5959595959595959,0.33999999999999997
60,torus_bump_060,0.606060606060606,0.45999999999999996
61,torus_bump_061,0.6161616161616161,0.32666666666666666
62,torus_bump_062,0.6262626262626263,0.42
63,torus_bump_063,0.6363636363636364,0.4066666666666667
64,torus_bump_064,0.6464646464646464,0.35333333333333333
65,torus_bump_065,0.6565656565656566,0.32666666666666666
66,torus_bump_066,0.6666666666666666,0.4866666666666667
67,torus_bump_067,0.6767676767676768,0.4066666666666667
68,torus_bump_068,0.6868686868686869,0.32666666666666666
69,torus_bump_069,0.6969696969696969,0.33999999999999997
70,torus_bump_070,0.7070707070707071,0.36666666666666664
71,torus_bump_071,0.7171717171717171,0.38
72,torus_bump_072,0.7272727272727272,0.32666666666666666
73,torus_bump_073,0.7373737373737373,0.38
74,torus_bump_074,0.7474747474747475,0.32666666666666666
75,torus_bump_075,0.7575757575757576,0.3
76,torus_bump_076,0.7676767676767677,0.43333333333333335
77,torus_bump_077,0.7777777777777777,0.42
78,torus_bump_078,0.7878787878787878,0.3933333333333333
79,torus_bump_079,0.797979797979798,0.43333333333333335
80,torus_bump_080,0.8080808080808081,0.4066666666666667
81,torus_bump_081,0.8181818181818182,0.36666666666666664
82,torus_bump_082,0.8282828282828282,0.38
83,torus_bump_083,0.8383838383838383,0.44666666666666666
84,torus_bump_084,0.8484848484848485,0.4866666666666667
85,torus_bump_085,0.8585858585858586,0.44666666666666666
86,torus_bump_086,0.8686868686868687,0.36666666666666664
87,torus_bump_087,0.8787878787878787,0.3933333333333333
88,torus_bump_088,0.8888888888888888,0.4066666666666667
89,torus_bump_089,0.898989898989899,0.4866666666666667
90,torus_bump_090,0.9090909090909091,0.47333333333333333
91,torus_bump_091,0.9191919191919192,0.43333333333333335
92,torus_bump_092,0.9292929292929292,0.44666666666666666
93,torus_bump_093,0.9393939393939393,0.43333333333333335
94,torus_bump_094,0.9494949494949495,0.33999999999999997
95,torus_bump_095,0.9595959595959596,0.38
96,torus_bump_096,0.9696969696969697,0.38
97,torus_bump_097,0.9797979797979797,0.38
98,torus_bump_098,0.9898989898989898,0.3
99,torus_bump_099,1.0,0.4066666666666667
