/Users/benjaminkwon/Desktop/ExplainingAnatomicalShapeVariability/venv/lib/python3.10/site-packages/torch_geometric/nn/conv/spline_conv.py:133: UserWarning:

We do not recommend using the non-optimized CPU version of `SplineConv`. If possible, please move your data to GPU.
Epoch 0 | Loss: 2086.435577 | Recon: 0.504943 | KL: 2085.930603
Epoch 1 | Loss: 967.463486 | Recon: 0.489933 | KL: 966.973572
Epoch 2 | Loss: 474.488365 | Recon: 0.487678 | KL: 474.000679
Epoch 3 | Loss: 278.998547 | Recon: 0.492494 | KL: 278.506058
Epoch 4 | Loss: 202.992104 | Recon: 0.497346 | KL: 202.494755
Epoch 5 | Loss: 164.752491 | Recon: 0.498223 | KL: 164.254269
Epoch 6 | Loss: 132.977068 | Recon: 0.495327 | KL: 132.481739
Epoch 7 | Loss: 101.827688 | Recon: 0.492933 | KL: 101.334755
Epoch 8 | Loss: 75.272560 | Recon: 0.488438 | KL: 74.784122
Epoch 9 | Loss: 55.776244 | Recon: 0.484874 | KL: 55.291371
Epoch 10 | Loss: 43.060523 | Recon: 0.483402 | KL: 42.577121
Epoch 11 | Loss: 35.600416 | Recon: 0.479776 | KL: 35.120640
Epoch 12 | Loss: 30.669178 | Recon: 0.480049 | KL: 30.189130
Epoch 13 | Loss: 26.574765 | Recon: 0.479378 | KL: 26.095387
Epoch 14 | Loss: 23.134898 | Recon: 0.479980 | KL: 22.654918
Epoch 15 | Loss: 20.499574 | Recon: 0.480451 | KL: 20.019122
Epoch 16 | Loss: 18.491289 | Recon: 0.479532 | KL: 18.011758
Epoch 17 | Loss: 16.860065 | Recon: 0.478839 | KL: 16.381226
Epoch 18 | Loss: 15.497930 | Recon: 0.477770 | KL: 15.020160
Epoch 19 | Loss: 14.386062 | Recon: 0.478133 | KL: 13.907928
Epoch 20 | Loss: 13.462857 | Recon: 0.478060 | KL: 12.984797
Epoch 21 | Loss: 12.677876 | Recon: 0.478358 | KL: 12.199518
Epoch 22 | Loss: 11.998538 | Recon: 0.477984 | KL: 11.520554
Epoch 23 | Loss: 11.396456 | Recon: 0.478127 | KL: 10.918329
Epoch 24 | Loss: 10.864945 | Recon: 0.478725 | KL: 10.386221
Epoch 25 | Loss: 10.392533 | Recon: 0.477062 | KL: 9.915471
