/Users/benjaminkwon/Desktop/ExplainingAnatomicalShapeVariability/venv/lib/python3.10/site-packages/torch_geometric/nn/conv/spline_conv.py:133: UserWarning:

We do not recommend using the non-optimized CPU version of `SplineConv`. If possible, please move your data to GPU.
Epoch 0 | Loss: 0.813362 | Recon: 0.520224 | KL: 0.293139
Epoch 1 | Loss: 0.748006 | Recon: 0.509895 | KL: 0.238111
Epoch 2 | Loss: 0.697570 | Recon: 0.505326 | KL: 0.192244
Epoch 3 | Loss: 0.657279 | Recon: 0.502366 | KL: 0.154913
Epoch 4 | Loss: 0.618464 | Recon: 0.493379 | KL: 0.125085
Epoch 5 | Loss: 0.592281 | Recon: 0.490597 | KL: 0.101684
Epoch 6 | Loss: 0.568883 | Recon: 0.485231 | KL: 0.083653
Epoch 7 | Loss: 0.554196 | Recon: 0.484242 | KL: 0.069954
Epoch 8 | Loss: 0.537912 | Recon: 0.478254 | KL: 0.059658
Epoch 9 | Loss: 0.533842 | Recon: 0.481891 | KL: 0.051951
Epoch 10 | Loss: 0.524372 | Recon: 0.478204 | KL: 0.046169
Epoch 11 | Loss: 0.519536 | Recon: 0.477756 | KL: 0.041780
Epoch 12 | Loss: 0.514968 | Recon: 0.476568 | KL: 0.038401
Epoch 13 | Loss: 0.508567 | Recon: 0.472848 | KL: 0.035719
Epoch 14 | Loss: 0.508753 | Recon: 0.475247 | KL: 0.033506
Epoch 15 | Loss: 0.507561 | Recon: 0.475954 | KL: 0.031607
Epoch 16 | Loss: 0.505786 | Recon: 0.475881 | KL: 0.029905
Epoch 17 | Loss: 0.502274 | Recon: 0.473960 | KL: 0.028314
Epoch 18 | Loss: 0.502671 | Recon: 0.475882 | KL: 0.026789
Epoch 19 | Loss: 0.500035 | Recon: 0.474752 | KL: 0.025283
Epoch 20 | Loss: 0.499894 | Recon: 0.476117 | KL: 0.023777
Epoch 21 | Loss: 0.497356 | Recon: 0.475096 | KL: 0.022261
Epoch 22 | Loss: 0.500344 | Recon: 0.479607 | KL: 0.020736
Epoch 23 | Loss: 0.494017 | Recon: 0.474811 | KL: 0.019205
Epoch 24 | Loss: 0.496431 | Recon: 0.478751 | KL: 0.017679
Epoch 25 | Loss: 0.490936 | Recon: 0.474760 | KL: 0.016176
Epoch 26 | Loss: 0.489751 | Recon: 0.475032 | KL: 0.014719
Epoch 27 | Loss: 0.485180 | Recon: 0.471848 | KL: 0.013332
Epoch 28 | Loss: 0.485459 | Recon: 0.473423 | KL: 0.012036
Epoch 29 | Loss: 0.484930 | Recon: 0.474079 | KL: 0.010851
Reconstructed torus saved to: reconstructed_torus_VAE_0.ply
