2025-03-03 09:17:38,918 INFO    MainThread:87893 [wandb_setup.py:_flush():67] Current SDK version is 0.19.7
2025-03-03 09:17:38,919 INFO    MainThread:87893 [wandb_setup.py:_flush():67] Configure stats pid to 87893
2025-03-03 09:17:38,919 INFO    MainThread:87893 [wandb_setup.py:_flush():67] Loading settings from /Users/benjaminkwon/.config/wandb/settings
2025-03-03 09:17:38,919 INFO    MainThread:87893 [wandb_setup.py:_flush():67] Loading settings from /Users/benjaminkwon/Desktop/AD-Research/TorusBumpGNN/wandb/settings
2025-03-03 09:17:38,919 INFO    MainThread:87893 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-03-03 09:17:38,919 INFO    MainThread:87893 [wandb_init.py:setup_run_log_directory():647] Logging user logs to /Users/benjaminkwon/Desktop/AD-Research/TorusBumpGNN/wandb/run-20250303_091738-qjsw94m7/logs/debug.log
2025-03-03 09:17:38,919 INFO    MainThread:87893 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to /Users/benjaminkwon/Desktop/AD-Research/TorusBumpGNN/wandb/run-20250303_091738-qjsw94m7/logs/debug-internal.log
2025-03-03 09:17:38,919 INFO    MainThread:87893 [wandb_init.py:init():761] calling init triggers
2025-03-03 09:17:38,919 INFO    MainThread:87893 [wandb_init.py:init():766] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-03-03 09:17:38,919 INFO    MainThread:87893 [wandb_init.py:init():784] starting backend
2025-03-03 09:17:38,919 INFO    MainThread:87893 [wandb_init.py:init():788] sending inform_init request
2025-03-03 09:17:38,992 INFO    MainThread:87893 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2025-03-03 09:17:38,992 INFO    MainThread:87893 [wandb_init.py:init():803] backend started and connected
2025-03-03 09:17:38,999 INFO    MainThread:87893 [wandb_init.py:init():896] updated telemetry
2025-03-03 09:17:39,031 INFO    MainThread:87893 [wandb_init.py:init():920] communicating run to backend with 90.0 second timeout
2025-03-03 09:17:39,397 INFO    MainThread:87893 [wandb_init.py:init():995] starting run threads in backend
2025-03-03 09:17:39,639 INFO    MainThread:87893 [wandb_run.py:_console_start():2377] atexit reg
2025-03-03 09:17:39,639 INFO    MainThread:87893 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-03-03 09:17:39,640 INFO    MainThread:87893 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-03-03 09:17:39,640 INFO    MainThread:87893 [wandb_run.py:_redirect():2317] Redirects installed.
2025-03-03 09:17:39,642 INFO    MainThread:87893 [wandb_init.py:init():1037] run started, returning control to user process
2025-03-03 09:17:39,643 INFO    MainThread:87893 [wandb_config.py:__setitem__():154] config set epochs = 30 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x195a67580>>
2025-03-03 09:17:39,643 INFO    MainThread:87893 [wandb_run.py:_config_callback():1261] config_cb epochs 30 None
2025-03-03 09:17:39,643 INFO    MainThread:87893 [wandb_config.py:__setitem__():154] config set beta = 1.0 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x195a67580>>
2025-03-03 09:17:39,644 INFO    MainThread:87893 [wandb_run.py:_config_callback():1261] config_cb beta 1.0 None
2025-03-03 09:17:39,644 INFO    MainThread:87893 [wandb_config.py:__setitem__():154] config set learning_rate = 0.001 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x195a67580>>
2025-03-03 09:17:39,644 INFO    MainThread:87893 [wandb_run.py:_config_callback():1261] config_cb learning_rate 0.001 None
2025-03-03 09:17:39,644 INFO    MainThread:87893 [wandb_config.py:__setitem__():154] config set hidden_dim = 64 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x195a67580>>
2025-03-03 09:17:39,644 INFO    MainThread:87893 [wandb_run.py:_config_callback():1261] config_cb hidden_dim 64 None
2025-03-03 09:17:39,644 INFO    MainThread:87893 [wandb_config.py:__setitem__():154] config set latent_dim = 16 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x195a67580>>
2025-03-03 09:17:39,644 INFO    MainThread:87893 [wandb_run.py:_config_callback():1261] config_cb latent_dim 16 None
2025-03-03 09:24:04,414 INFO    MainThread:87893 [wandb_run.py:_finish():2112] finishing run tapflow-inc/VAE/qjsw94m7
2025-03-03 09:24:04,423 INFO    MainThread:87893 [wandb_run.py:_atexit_cleanup():2342] got exitcode: 0
2025-03-03 09:24:04,429 INFO    MainThread:87893 [wandb_run.py:_restore():2324] restore
2025-03-03 09:24:04,431 INFO    MainThread:87893 [wandb_run.py:_restore():2330] restore done
2025-03-03 09:24:06,274 INFO    MsgRouterThr:87893 [mailbox.py:close():115] Closing mailbox, abandoning 1 handles.
2025-03-03 09:24:06,278 INFO    MainThread:87893 [wandb_run.py:_footer_history_summary_info():3958] rendering history
2025-03-03 09:24:06,282 INFO    MainThread:87893 [wandb_run.py:_footer_history_summary_info():3990] rendering summary
2025-03-03 09:24:06,289 INFO    MainThread:87893 [wandb_run.py:_footer_sync_info():3919] logging synced files
