/Users/benjaminkwon/Desktop/ExplainingAnatomicalShapeVariability/venv/lib/python3.10/site-packages/torch_geometric/nn/conv/spline_conv.py:133: UserWarning:

We do not recommend using the non-optimized CPU version of `SplineConv`. If possible, please move your data to GPU.
Epoch 0 | Loss: 0.816631 | Recon: 0.509530 | KL: 0.307101
Epoch 1 | Loss: 0.756469 | Recon: 0.508980 | KL: 0.247489
Epoch 2 | Loss: 0.697144 | Recon: 0.499618 | KL: 0.197526
Epoch 3 | Loss: 0.649252 | Recon: 0.492748 | KL: 0.156503
Epoch 4 | Loss: 0.618249 | Recon: 0.494684 | KL: 0.123565
Epoch 5 | Loss: 0.588872 | Recon: 0.491084 | KL: 0.097789
Epoch 6 | Loss: 0.564163 | Recon: 0.486005 | KL: 0.078157
Epoch 7 | Loss: 0.547256 | Recon: 0.483600 | KL: 0.063656
Epoch 8 | Loss: 0.538060 | Recon: 0.484798 | KL: 0.053263
Epoch 9 | Loss: 0.529155 | Recon: 0.483099 | KL: 0.046055
Epoch 10 | Loss: 0.520113 | Recon: 0.478899 | KL: 0.041215
Epoch 11 | Loss: 0.515965 | Recon: 0.477956 | KL: 0.038009
Epoch 12 | Loss: 0.517564 | Recon: 0.481711 | KL: 0.035852
Epoch 13 | Loss: 0.513899 | Recon: 0.479605 | KL: 0.034294
Epoch 14 | Loss: 0.507837 | Recon: 0.474829 | KL: 0.033008
Epoch 15 | Loss: 0.506985 | Recon: 0.475219 | KL: 0.031766
Epoch 16 | Loss: 0.509164 | Recon: 0.478721 | KL: 0.030443
Epoch 17 | Loss: 0.503200 | Recon: 0.474222 | KL: 0.028978
Epoch 18 | Loss: 0.505043 | Recon: 0.477677 | KL: 0.027366
Epoch 19 | Loss: 0.501502 | Recon: 0.475865 | KL: 0.025637
Epoch 20 | Loss: 0.500085 | Recon: 0.476245 | KL: 0.023840
Epoch 21 | Loss: 0.500589 | Recon: 0.478564 | KL: 0.022025
Epoch 22 | Loss: 0.492821 | Recon: 0.472587 | KL: 0.020234
Epoch 23 | Loss: 0.496120 | Recon: 0.477618 | KL: 0.018502
Epoch 24 | Loss: 0.487727 | Recon: 0.470869 | KL: 0.016857
Epoch 25 | Loss: 0.488901 | Recon: 0.473579 | KL: 0.015322
Epoch 26 | Loss: 0.487652 | Recon: 0.473743 | KL: 0.013909
Epoch 27 | Loss: 0.487712 | Recon: 0.475084 | KL: 0.012628
Epoch 28 | Loss: 0.485107 | Recon: 0.473625 | KL: 0.011482
Epoch 29 | Loss: 0.483791 | Recon: 0.473329 | KL: 0.010462
Reconstructed torus saved to: reconstructed_torus_VAE_0.ply
